a|Do you want a cookie?
almost|I almost fell down
and|Hat and scarf
are|You are a great friend
as|as we walk to the park
be|To be or not to be
beautiful|She is beautiful
before|I have never seen you before
below|Below the bed
between|Between the goal posts
both|Both of us are going
bought|I bought a new sweater
brother|I have a big brother
brought|I brought my lunch
daughter|I have a daughter
different|We are all different
do|Do you know the muffin man?
does|What does it mean?
don't|Don't be late
done|Done and dusted
earlier|I woke up earlier than usual
families|The families got together for a picnic
family|I love my family
father|I have the best father in any known or unknown universe
for|For the love of paper
four|Four is my lucky number
fourth|I finished fourth in the race
from|From the depths of the ocean
has|She has brown hair
have|I have a dog
he|He is the best father in any known or unknown universe
heart|My heart is pounding
his|His name is John
house|Welcome to my house
houses|There is a row of houses
I|I am a robot
into|Into the unknown
is|She is kind
learn|I want to learn how to swim
learned|I learned how to swim
me|me myself and I
mother|My mother is the most beautiful woman in the world
move|I like to move it
moved|Who moved my cheese?
none|We will have none of that
of|Beatrice of Abalard
or|Or we can go to the park
ought|You ought to be proud of yourself
own|I own a popsicle
owned|She owned a popsicle
owner|She is the owner of the popsicle
paste|Copy and paste
person|There is a person at the door
pretty|She is pretty
remove|May I remove my shoes?
removed|She has removed her shoe
several|There are several toys in the box
shall|Shall we go?
since|I have not seen you since last year
sister|I have a sister
son|This is my son
soon|See you soon
sure|Are you sure?
taste|Can I taste that chocolate?
the|The word is the
they|They are going
thought|I thought I saw a tree
three|Three is a crowd
to|To the moon and back
ton|My car weighs a ton
toward|I am walking toward the park
use|Use the force Luke
used|I used a hammer
uses|She uses a pencil
using|I am using a spelling app
want|Do you want a cookie?
was|He was going
waste|Let us not waste food
we|We are going to the park
woman|There is a woman at the park
women|Women are female adult humans
won|I won the race
you|You need to spell you
your|Your shoelaces are untied
